         Datum/Zeit;Geneigt CM-11(W/m2);Temp Bentham Box;Global CMP-11(W/m2);Diffus CMP-11(W/m2);CO2 Sensor; CO2 ppm;Temp AMUDIS Box
06.02.2024 00:00:00;   -5.13;    18.2;    -4.5;    -4.8;  19.988;   999.3;    20.2
06.02.2024 00:01:00;   -5.10;    18.2;    -4.5;    -4.8;  19.988;   999.3;    21.3
06.02.2024 00:02:00;   -5.10;    18.2;    -4.3;    -4.8;  19.988;   999.3;    20.5
06.02.2024 00:03:00;   -5.12;    18.2;    -4.2;    -4.8;  19.988;   999.3;    20.5
06.02.2024 00:04:00;   -5.13;    18.1;    -4.1;    -4.8;  19.988;   999.3;    20.4
06.02.2024 00:05:00;   -5.11;    18.2;    -4.3;    -4.8;  19.988;   999.3;    20.6
06.02.2024 00:06:00;   -5.07;    18.2;    -4.3;    -4.8;  19.988;   999.3;    22.1
06.02.2024 00:07:00;   -5.07;    18.1;    -4.3;    -4.8;  19.988;   999.3;    21.3
06.02.2024 00:08:00;   -5.05;    18.2;    -4.2;    -4.8;  19.988;   999.3;    20.8
06.02.2024 00:09:00;   -5.03;    18.2;    -4.0;    -4.8;  19.988;   999.3;    20.7
06.02.2024 00:10:00;   -5.07;    18.2;    -4.2;    -4.8;  19.988;   999.3;    21.5
06.02.2024 00:11:00;   -5.07;    18.2;    -4.2;    -4.9;  19.988;   999.3;    21.1
06.02.2024 00:12:00;   -5.03;    18.1;    -4.1;    -4.8;  19.988;   999.3;    20.6
06.02.2024 00:13:00;   -4.99;    18.2;    -4.1;    -4.8;  19.988;   999.3;    20.2
06.02.2024 00:14:00;   -4.98;    18.2;    -4.2;    -4.8;  19.988;   999.3;    20.4
06.02.2024 00:15:00;   -4.91;    18.2;    -4.2;    -4.7;  19.987;   999.3;    20.2
06.02.2024 00:16:00;   -4.85;    18.2;    -4.1;    -4.7;  19.988;   999.3;    21.6
06.02.2024 00:17:00;   -4.80;    18.2;    -4.0;    -4.6;  19.988;   999.3;    21.5
06.02.2024 00:18:00;   -4.74;    18.2;    -4.0;    -4.5;  19.988;   999.3;    21.1
06.02.2024 00:19:00;   -4.63;    18.2;    -3.7;    -4.4;  19.988;   999.3;    21.4
06.02.2024 00:20:00;   -4.57;    18.2;    -3.6;    -4.4;  19.987;   999.3;    20.6
06.02.2024 00:21:00;   -4.48;    18.1;    -3.5;    -4.3;  19.988;   999.3;    20.4
06.02.2024 00:22:00;   -4.40;    18.2;    -3.5;    -4.2;  19.988;   999.3;    20.2
06.02.2024 00:23:00;   -4.34;    18.1;    -3.6;    -4.1;  19.988;   999.3;    20.7
06.02.2024 00:24:00;   -4.26;    18.2;    -3.7;    -4.1;  19.988;   999.3;    21.6
06.02.2024 00:25:00;   -4.24;    18.2;    -3.7;    -4.1;  19.988;   999.3;    20.7
06.02.2024 00:26:00;   -4.23;    18.1;    -3.7;    -4.1;  19.988;   999.3;    21.5
06.02.2024 00:27:00;   -4.26;    18.1;    -3.9;    -4.2;  19.988;   999.3;    20.7
06.02.2024 00:28:00;   -4.32;    18.2;    -4.0;    -4.3;  19.988;   999.3;    20.4
06.02.2024 00:29:00;   -4.44;    18.1;    -4.4;    -4.4;  19.988;   999.3;    20.5
06.02.2024 00:30:00;   -4.66;    18.2;    -4.7;    -4.5;  19.988;   999.3;    20.3
06.02.2024 00:31:00;   -4.83;    18.2;    -4.8;    -4.7;  19.988;   999.3;    20.4
06.02.2024 00:32:00;   -4.94;    18.2;    -4.8;    -4.8;  19.987;   999.2;    21.8
06.02.2024 00:33:00;   -4.98;    18.2;    -4.7;    -4.8;  19.987;   999.2;    21.3
06.02.2024 00:34:00;   -4.96;    18.1;    -4.7;    -4.8;  19.988;   999.3;    20.8
06.02.2024 00:35:00;   -4.88;    18.2;    -4.6;    -4.8;  19.987;   999.3;    20.6
06.02.2024 00:36:00;   -4.79;    18.2;    -4.5;    -4.7;  19.988;   999.3;    20.4
06.02.2024 00:37:00;   -4.73;    18.1;    -4.5;    -4.7;  19.988;   999.3;    21.0
06.02.2024 00:38:00;   -4.63;    18.2;    -4.4;    -4.7;  19.988;   999.3;    21.9
06.02.2024 00:39:00;   -4.64;    18.2;    -4.5;    -4.7;  19.988;   999.3;    20.8
06.02.2024 00:40:00;   -4.68;    18.2;    -4.5;    -4.7;  19.988;   999.3;    21.8
