         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
07.02.2024 00:00:00;  101.00;  100.00;   40.00;    9.77;   0.829;      13;    5.50;  993.99;    7.32
07.02.2024 00:01:00;  101.00;  100.00;   40.00;    9.56;   0.834;      17;    5.81;  994.37;    9.08
07.02.2024 00:02:00;  101.00;  100.00;   40.00;    9.39;   0.840;      19;    5.11;  994.23;    6.77
07.02.2024 00:03:00;  101.00;  100.00;   40.00;    9.22;   0.846;      21;    4.94;  993.90;    7.94
07.02.2024 00:04:00;  101.00;  100.00;   40.00;    9.08;   0.852;      13;    4.25;  993.71;    6.95
07.02.2024 00:05:00;  101.00;  100.00;   40.00;    8.95;   0.858;      13;    4.43;  993.65;    8.08
07.02.2024 00:06:00;  101.00;  100.00;   40.00;    8.84;   0.862;      15;    4.65;  993.74;    7.96
07.02.2024 00:07:00;  101.00;  100.00;   40.00;    8.75;   0.867;      15;    5.32;  993.81;   10.90
07.02.2024 00:08:00;  101.00;  100.00;   40.00;    8.68;   0.872;      18;    6.36;  993.94;    9.24
07.02.2024 00:09:00;  101.00;  100.00;   40.00;    8.61;   0.876;      16;    4.25;  994.02;    7.97
07.02.2024 00:10:00;  101.00;  100.00;   40.00;    8.56;   0.880;      12;    4.28;  994.12;    5.18
07.02.2024 00:11:00;  101.00;  100.00;   40.00;    8.51;   0.883;      13;    5.08;  994.29;    8.49
07.02.2024 00:12:00;   95.97;  100.00;   40.00;    8.46;   0.885;      13;    3.90;  994.36;    5.42
07.02.2024 00:13:00;  101.00;  100.00;   40.00;    8.41;   0.888;      12;    4.73;  994.36;    6.48
07.02.2024 00:14:00;  101.00;  100.00;   40.00;    8.33;   0.888;      14;    4.74;  994.33;    6.25
07.02.2024 00:15:00;  101.00;  100.00;   40.00;    8.26;   0.889;      14;    2.92;  994.38;    4.22
07.02.2024 00:16:00;  101.00;  100.00;   40.00;    8.21;   0.891;       9;    4.37;  994.37;    5.48
07.02.2024 00:17:00;  101.00;  100.00;   40.00;    8.14;   0.892;       7;    2.56;  994.36;    6.24
07.02.2024 00:18:00;   95.97;  100.00;   40.00;    8.07;   0.892;       6;    3.95;  994.35;    5.57
07.02.2024 00:19:00;   90.93;  100.00;   40.00;    7.99;   0.893;       3;    2.95;  994.36;    4.37
07.02.2024 00:20:00;   95.97;  100.00;   40.00;    7.90;   0.893;       4;    3.76;  994.40;    6.38
07.02.2024 00:21:00;  101.00;  100.00;   40.00;    7.74;   0.888;       3;    4.28;  994.38;    5.58
07.02.2024 00:22:00;  101.00;  100.00;   40.00;    7.56;   0.886;       4;    3.83;  994.45;    6.50
07.02.2024 00:23:00;  101.00;  100.00;   40.00;    7.41;   0.887;       4;    4.10;  994.45;    7.76
