         Datum/Zeit;    Temp; Feuchte;   PyrUp;   PyrDn;   Regen;Lüfterdrehzahl;Globalstrahlung
10.02.2024 00:00:00;    9.04;   0.900;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 00:01:00;    9.10;   0.907;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:02:00;    9.11;   0.907;   0.000;  20.000;       0;     0.0;    -0.1
10.02.2024 00:03:00;    9.08;   0.904;   0.000;  20.000;       0;     0.0;    -0.1
10.02.2024 00:04:00;    9.09;   0.907;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:05:00;    9.10;   0.908;   0.000;  20.000;       0;     0.0;     0.1
10.02.2024 00:06:00;    9.11;   0.908;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:07:00;    9.06;   0.904;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:08:00;    9.05;   0.905;  -0.001;  20.000;       0;     0.0;    -0.1
10.02.2024 00:09:00;    9.04;   0.906;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:10:00;    9.03;   0.906;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:11:00;    9.05;   0.908;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:12:00;    9.05;   0.907;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:13:00;    9.07;   0.910;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:14:00;    9.09;   0.910;  -0.001;  20.000;       0;     0.0;    -0.1
10.02.2024 00:15:00;    9.10;   0.910;   0.000;  20.000;       0;     0.0;    -0.1
10.02.2024 00:16:00;    9.13;   0.911;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:17:00;    9.18;   0.913;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:18:00;    9.22;   0.913;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:19:00;    9.25;   0.913;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 00:20:00;    9.27;   0.912;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:21:00;    9.29;   0.912;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:22:00;    9.31;   0.912;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:23:00;    9.32;   0.911;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:24:00;    9.31;   0.909;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:25:00;    9.31;   0.910;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:26:00;    9.34;   0.911;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 00:27:00;    9.37;   0.912;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 00:28:00;    9.42;   0.914;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 00:29:00;    9.48;   0.916;   0.001;  20.000;       0;     0.0;     0.3
10.02.2024 00:30:00;    9.51;   0.913;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 00:31:00;    9.50;   0.911;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 00:32:00;    9.48;   0.909;   0.000;  20.000;       0;     0.0;     0.1
10.02.2024 00:33:00;    9.47;   0.909;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:34:00;    9.46;   0.908;   0.000;  20.000;       0;     0.0;    -0.1
10.02.2024 00:35:00;    9.43;   0.906;  -0.001;  20.000;       0;     0.0;    -0.1
10.02.2024 00:36:00;    9.38;   0.904;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 00:37:00;    9.36;   0.905;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 00:38:00;    9.34;   0.906;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 00:39:00;    9.32;   0.906;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 00:40:00;    9.32;   0.907;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 00:41:00;    9.33;   0.908;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 00:42:00;    9.31;   0.907;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 00:43:00;    9.30;   0.908;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 00:44:00;    9.32;   0.909;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:45:00;    9.35;   0.911;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 00:46:00;    9.40;   0.912;   0.000;  20.000;       0;     0.0;    -0.1
10.02.2024 00:47:00;    9.42;   0.912;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:48:00;    9.43;   0.910;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:49:00;    9.42;   0.909;   0.000;  20.000;       0;     0.0;     0.1
10.02.2024 00:50:00;    9.40;   0.907;   0.000;  20.000;       0;     0.0;     0.1
10.02.2024 00:51:00;    9.35;   0.904;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:52:00;    9.30;   0.903;   0.000;  20.000;       0;     0.0;    -0.1
10.02.2024 00:53:00;    9.27;   0.904;  -0.001;  20.000;       0;     0.0;    -0.1
10.02.2024 00:54:00;    9.31;   0.908;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 00:55:00;    9.33;   0.909;   0.000;  20.000;       0;     0.0;     0.1
10.02.2024 00:56:00;    9.34;   0.909;   0.000;  20.000;       0;     0.0;     0.1
10.02.2024 00:57:00;    9.36;   0.910;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 00:58:00;    9.39;   0.911;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 00:59:00;    9.36;   0.906;   0.001;  20.000;       0;     0.0;     0.2
10.02.2024 01:00:00;    9.36;   0.908;   0.001;  20.000;       0;     0.0;     0.1
10.02.2024 01:01:00;    9.37;   0.908;   0.000;  20.000;       0;     0.0;     0.1
10.02.2024 01:02:00;    9.34;   0.906;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 01:03:00;    9.36;   0.908;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 01:04:00;    9.38;   0.909;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 01:05:00;    9.38;   0.907;   0.000;  20.000;       0;     0.0;    -0.1
10.02.2024 01:06:00;    9.36;   0.906;  -0.001;  20.000;       0;     0.0;    -0.1
10.02.2024 01:07:00;    9.36;   0.907;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:08:00;    9.38;   0.908;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 01:09:00;    9.40;   0.908;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 01:10:00;    9.40;   0.908;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 01:11:00;    9.41;   0.908;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:12:00;    9.42;   0.908;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:13:00;    9.44;   0.908;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:14:00;    9.45;   0.908;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:15:00;    9.46;   0.907;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:16:00;    9.47;   0.908;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:17:00;    9.49;   0.908;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:18:00;    9.51;   0.908;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:19:00;    9.51;   0.906;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:20:00;    9.49;   0.905;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:21:00;    9.55;   0.910;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 01:22:00;    9.57;   0.908;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:23:00;    9.58;   0.907;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:24:00;    9.59;   0.906;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:25:00;    9.57;   0.904;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:26:00;    9.52;   0.901;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 01:27:00;    9.49;   0.901;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 01:28:00;    9.50;   0.903;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:29:00;    9.52;   0.904;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 01:30:00;    9.53;   0.905;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 01:31:00;    9.51;   0.903;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 01:32:00;    9.52;   0.904;  -0.001;  20.000;       0;     0.0;    -0.3
10.02.2024 01:33:00;    9.55;   0.906;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:34:00;    9.60;   0.908;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:35:00;    9.71;   0.912;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 01:36:00;    9.76;   0.909;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 01:37:00;    9.76;   0.906;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 01:38:00;    9.77;   0.904;  -0.001;  20.000;       0;     0.0;    -0.1
10.02.2024 01:39:00;    9.78;   0.904;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:40:00;    9.80;   0.904;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 01:41:00;    9.80;   0.902;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 01:42:00;    9.80;   0.902;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:43:00;    9.82;   0.902;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 01:44:00;    9.82;   0.901;  -0.002;  20.000;       0;     0.0;    -0.5
10.02.2024 01:45:00;    9.81;   0.900;  -0.003;  20.000;       0;     0.0;    -0.5
10.02.2024 01:46:00;    9.81;   0.900;  -0.003;  20.000;       0;     0.0;    -0.6
10.02.2024 01:47:00;    9.85;   0.902;  -0.003;  20.000;       3;     0.0;    -0.5
10.02.2024 01:48:00;    9.84;   0.900;  -0.003;  20.000;       0;     0.0;    -0.5
10.02.2024 01:49:00;    9.82;   0.898;  -0.003;  20.000;       0;     0.0;    -0.6
10.02.2024 01:50:00;    9.82;   0.899;  -0.003;  20.000;       0;     0.0;    -0.6
10.02.2024 01:51:00;    9.81;   0.897;  -0.003;  20.000;       0;     0.0;    -0.7
10.02.2024 01:52:00;    9.79;   0.897;  -0.004;  20.000;       0;     0.0;    -0.7
10.02.2024 01:53:00;    9.75;   0.895;  -0.004;  20.000;       0;     0.0;    -0.8
10.02.2024 01:54:00;    9.72;   0.894;  -0.004;  20.000;       3;     0.0;    -0.9
10.02.2024 01:55:00;    9.68;   0.894;  -0.004;  20.000;       0;     0.0;    -0.9
10.02.2024 01:56:00;    9.62;   0.892;  -0.005;  20.000;       0;     0.0;    -0.9
10.02.2024 01:57:00;    9.54;   0.890;  -0.005;  20.000;       0;     0.0;    -1.0
10.02.2024 01:58:00;    9.47;   0.890;  -0.005;  20.000;       0;     0.0;    -1.0
10.02.2024 01:59:00;    9.43;   0.892;  -0.005;  20.000;       0;     0.0;    -1.0
10.02.2024 02:00:00;    9.42;   0.894;  -0.005;  20.000;       0;     0.0;    -0.9
10.02.2024 02:01:00;    9.35;   0.891;  -0.005;  20.000;       0;     0.0;    -1.0
10.02.2024 02:02:00;    9.31;   0.893;  -0.005;  20.000;       0;     0.0;    -1.0
10.02.2024 02:03:00;    9.31;   0.897;  -0.004;  20.000;       0;     0.0;    -0.8
10.02.2024 02:04:00;    9.33;   0.899;  -0.004;  20.000;       0;     0.0;    -0.7
10.02.2024 02:05:00;    9.38;   0.903;  -0.003;  20.000;       3;     0.0;    -0.6
10.02.2024 02:06:00;    9.40;   0.902;  -0.003;  20.000;       0;     0.0;    -0.5
10.02.2024 02:07:00;    9.42;   0.903;  -0.002;  20.000;       0;     0.0;    -0.4
10.02.2024 02:08:00;    9.41;   0.901;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 02:09:00;    9.43;   0.903;  -0.002;  20.000;       0;     0.0;    -0.3
10.02.2024 02:10:00;    9.49;   0.907;  -0.001;  20.000;       0;     0.0;    -0.2
10.02.2024 02:11:00;    9.57;   0.909;  -0.001;  20.000;       0;     0.0;    -0.1
10.02.2024 02:12:00;    9.66;   0.912;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 02:13:00;    9.66;   0.906;   0.000;  20.000;       0;     0.0;     0.0
10.02.2024 02:14:00;    9.68;   0.906;   0.000;  20.000;       4;     0.0;    -0.1
10.02.2024 02:15:00;    9.69;   0.905;  -0.001;  20.000;       0;     0.0;    -0.1
